n, Gamma, Delta, obj_val, best_bound, solve_time
10, 0, 3, 3816.0, 3816.0, 5.267
10, 0, 3, 4020.0, 4020.0, 4.475
10, 0, 3, 4837.0, 4837.0, 6.878
10, 0, 3, 4471.0, 4471.0, 3.174
10, 0, 3, 4445.0, 4445.0, 5.233
10, 0, 3, 3423.0, 3423.0, 6.262
10, 0, 3, 5229.0, 5229.0, 4.202
10, 0, 3, 3907.0, 3907.0, 4.351
10, 0, 3, 4236.000000000001, 4236.000000000001, 10.651
10, 0, 3, 4695.0, 4695.0, 3.091
10, 0, 5, 4503.0, 4503.0, 4.443
10, 0, 5, 4404.0, 4404.0, 6.705
10, 0, 5, 5538.0, 5538.0, 4.8
10, 0, 5, 5056.0, 5056.0, 4.534
10, 0, 5, 5125.999999999999, 5125.999999999999, 5.612
10, 0, 5, 4100.0, 4100.0, 5.591
10, 0, 5, 5926.0, 5926.0, 4.675
10, 0, 5, 5053.999999999999, 5053.999999999999, 8.637
10, 0, 5, 4970.999999999999, 4970.999999999999, 3.823
10, 0, 5, 5241.0, 5241.0, 4.839
10, 0, 7, 5087.0, 5087.0, 5.129
10, 0, 7, 4692.000000000001, 4692.000000000001, 2.214
10, 0, 7, 5999.0, 5999.0, 10.84
10, 0, 7, 5409.0, 5409.0, 3.932
10, 0, 7, 5669.999999999999, 5669.999999999999, 3.029
10, 0, 7, 4546.0, 4546.0, 2.564
10, 0, 7, 6435.0, 6435.0, 3.7
10, 0, 7, 5883.0, 5883.0, 10.214
10, 0, 7, 5579.0, 5579.0, 6.053
10, 0, 7, 5659.0, 5659.0, 2.76
